YearBuilt,OverallQual,OverallCond,1stFlrSF,2ndFlrSF,LotArea,YrSold,HouseStyle,Condition1,Condition2,RoofMatl,Exterior1st,Exterior2nd,MSZoning,SaleType,SalePrice
1970,4,8,630,0,1526,2009,SFoyer,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,86000
1976,5,6,616,688,2665,2008,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,115000
1941,6,7,958,620,9490,2006,1.5Fin,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,133000
2006,6,5,728,728,15578,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,172785
1960,5,6,1269,0,7931,2008,1Story,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,155000
1938,5,8,886,0,5784,2009,1Story,Artery,Norm,CompShg,MetalSd,MetalSd,RM,WD,91300
1920,4,5,720,0,7879,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,C (all),WD,34900
1992,8,5,3228,0,12692,2007,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RL,WD,430000
1925,7,6,1133,687,9120,2008,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,184000
1967,5,7,899,0,7800,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,130000
1958,5,7,912,0,7535,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,120000
1973,6,5,672,546,1890,2007,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RM,WD,113000
2005,7,5,866,902,9803,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,226700
1965,5,7,1214,0,9170,2007,1Story,Feedr,Norm,CompShg,MetalSd,MetalSd,RL,WD,140000
1959,7,8,1801,0,15602,2010,1Story,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,289000
1974,6,5,855,467,2308,2009,2Story,Norm,Norm,CompShg,Plywood,Brk Cmn,RL,WD,147000
1952,5,5,960,1000,7596,2009,2Story,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RM,COD,124500
1993,8,5,1065,846,9554,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,215000
2009,6,5,1218,0,7862,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,208300
1928,7,9,689,689,9600,2008,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,161000
1959,5,6,1041,0,9600,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,124500
1951,5,7,1363,0,14559,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,164900
2005,7,5,1368,0,6792,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,202665
1958,5,5,864,0,9100,2006,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,WD,129900
1983,6,5,1080,0,9187,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,134000
1926,5,5,789,0,10594,2007,1.5Unf,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,96500
2009,10,5,2020,0,12220,2009,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,402861
1972,6,6,1378,741,10448,2009,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,COD,158000
1996,7,5,1277,1067,10208,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,265000
1998,6,5,882,914,9531,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,211000
1926,7,9,1276,804,10918,2009,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,234000
1900,4,7,694,600,10800,2008,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,106250
1957,6,6,1244,0,11988,2007,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,WD,150000
1947,6,7,1004,660,5000,2006,1.5Fin,Feedr,Norm,CompShg,CemntBd,CmentBd,RM,WD,159000
2007,10,5,3138,1538,40094,2007,2Story,PosN,PosN,CompShg,CemntBd,CmentBd,RL,New,184750
1996,7,5,1383,1015,11787,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,315750
2005,7,5,1266,0,7500,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,176000
1956,5,7,928,0,13300,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,132000
2008,9,5,1476,1237,14948,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,446261
1920,4,7,605,0,9098,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,86000
1957,6,3,2515,0,32668,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Stone,RL,WD,200624
1988,6,5,1509,0,10200,2008,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,175000
1920,6,8,751,611,6155,2008,2Story,RRNn,Feedr,CompShg,Wd Sdng,Wd Sdng,RM,WD,128000
1955,5,7,827,0,7200,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,107500
1946,1,3,334,0,5000,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,39300
2004,8,5,707,707,9056,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,178000
1910,5,7,820,527,7000,2008,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,107500
1998,7,5,880,844,8924,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,188000
1972,4,5,864,0,12735,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,COD,111250
1968,5,5,1159,0,11553,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,158000
2001,8,5,1601,0,11423,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,272000
2006,9,5,1838,0,14601,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,315000
2000,8,5,997,1288,11000,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,248000
1998,7,5,1680,0,10140,2009,1Story,RRAn,Norm,CompShg,VinylSd,VinylSd,RL,WD,213250
1998,7,5,767,0,4058,2007,SFoyer,Norm,Norm,CompShg,MetalSd,MetalSd,RH,WD,133000
2006,7,5,664,832,17104,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,179665
1988,7,5,1377,806,13837,2006,1.5Fin,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,229000
1923,6,7,915,720,8737,2007,1.5Fin,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,210000
1970,5,7,768,0,7244,2007,SFoyer,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,129500
1955,5,7,825,0,8235,2008,1Story,Feedr,RRNn,CompShg,MetalSd,MetalSd,RM,WD,125000
2003,7,5,912,1182,9375,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,263000
1977,6,6,1069,0,4043,2008,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,COD,140000
1957,5,6,928,0,6000,2008,1Story,Norm,Norm,CompShg,BrkFace,BrkFace,RM,WD,112500
2006,8,5,1717,0,11146,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,255500
1949,4,5,1126,0,8777,2009,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,WD,108000
2003,7,5,1006,1040,10625,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,284000
1922,5,6,1048,0,6380,2006,1.5Unf,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,113000
1957,5,5,1092,0,14850,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,141000
1920,4,6,897,439,11040,2006,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,C (all),COD,108000
1996,7,5,729,717,21872,2008,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,175000
2003,7,5,1557,0,3196,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,234000
1957,5,6,1392,0,11341,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,121500
1974,5,5,1389,0,10010,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,170000
1940,5,6,996,0,13907,2008,1Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,WD,108000
1918,6,7,1163,511,21780,2008,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,185000
1992,7,5,1166,1129,13346,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,268000
1915,6,4,841,806,6858,2010,2Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,128000
2005,9,5,1134,1370,11198,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,325000
2004,7,5,1535,0,10171,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,214000
1983,8,8,1496,636,12327,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,316600
1979,5,5,943,0,7032,2006,SFoyer,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,135960
1965,5,5,1728,0,13101,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,142600
1959,6,6,864,0,7332,2006,1Story,Norm,Norm,CompShg,WdShing,Wd Shng,RL,WD,120000
2009,7,5,846,846,13159,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,224500
2000,7,5,774,656,9967,2007,SLvl,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,170000
1971,5,7,576,533,10500,2007,SLvl,Norm,Norm,CompShg,MetalSd,AsphShn,RL,WD,139000
1947,5,5,832,384,8480,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,COD,118500
1928,7,7,877,600,6292,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,145000
1966,5,6,1320,0,11777,2006,SLvl,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,164500
2007,7,5,703,689,3604,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,146000
1954,5,5,1050,745,12150,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,131500
1960,6,6,1429,0,14585,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,181900
2008,8,5,2042,0,12704,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,253293
1990,6,5,816,0,11841,2007,SFoyer,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,118500
1893,10,9,1521,1254,13500,2008,2.5Unf,Artery,PosA,CompShg,Wd Sdng,Wd Sdng,RM,WD,325000
1935,4,7,989,584,6120,2009,1.5Fin,Norm,Norm,CompShg,AsbShng,AsbShng,RM,WD,133000
2005,8,5,2028,0,11443,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,369900
1918,6,7,838,0,10267,2008,1Story,RRAn,Norm,CompShg,Stucco,Wd Shng,RL,WD,130000
1982,5,6,860,0,8740,2009,SFoyer,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,137000
1968,5,8,1473,0,25095,2009,1Story,Norm,Norm,Tar&Grv,Wd Sdng,Wd Sdng,RL,WD,143000
1930,5,6,779,0,9100,2008,1Story,RRAn,Feedr,CompShg,VinylSd,VinylSd,RM,WD,79500
2004,7,5,770,812,8320,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,185900
2008,10,5,1728,568,13478,2009,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,ConLI,451950
1982,5,8,816,0,6600,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,138000
2003,6,5,848,0,4435,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,140000
1975,5,6,924,0,7990,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,110000
2005,8,5,1826,0,11302,2006,1Story,Norm,Norm,CompShg,VinylSd,Other,RL,New,319000
1910,6,7,684,684,3600,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,114504
2006,7,5,1402,0,3922,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,194201
1977,5,6,1647,0,12984,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,217500
1980,6,6,716,840,1950,2008,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RM,COD,151000
2005,8,5,1058,846,10927,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,275000
1937,6,6,780,595,9000,2007,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,141000
1992,8,5,927,988,10041,2006,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,220000
2004,7,5,600,600,3182,2010,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,151000
2002,7,5,1494,0,12803,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,221000
1965,7,6,1186,800,13600,2009,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,205000
1996,5,5,1040,0,12464,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,152000
1948,5,8,1112,896,7800,2006,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,225000
1934,8,6,1940,1254,12168,2007,2Story,Norm,Norm,CompShg,BrkFace,Wd Sdng,RL,WD,359100
1961,4,5,1029,0,7943,2007,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,WD,118500
2000,9,5,1476,677,11050,2009,2Story,PosN,Norm,CompShg,VinylSd,VinylSd,RL,WD,313000
1978,6,6,1032,0,10395,2007,SLvl,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,148000
2001,8,5,1299,573,11885,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,261500
2007,5,5,1120,0,8402,2007,1Story,Feedr,Norm,CompShg,VinylSd,VinylSd,RL,New,147000
1972,4,6,630,0,1491,2010,SFoyer,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,75500
1963,6,7,1054,0,8800,2010,SFoyer,Feedr,Norm,CompShg,MetalSd,MetalSd,RL,WD,137500
2002,6,5,807,702,7861,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,183200
1954,6,6,832,0,7227,2008,1.5Unf,Artery,Norm,CompShg,MetalSd,MetalSd,RL,WD,105500
2007,9,5,1828,0,11694,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,New,314813
2003,8,5,1482,780,12244,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,305000
1914,3,3,864,0,8248,2008,1Story,Norm,Norm,CompShg,Stucco,Stucco,RL,WD,67000
1974,6,7,1548,1066,10800,2008,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,240000
1977,5,6,980,0,7064,2009,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,135000
2000,6,5,756,756,2117,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,168500
1972,6,5,1012,778,10400,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,165150
1962,6,6,1116,0,10000,2010,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,160000
1960,5,5,1422,0,12342,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139900
1955,6,6,1520,0,9600,2010,SLvl,Norm,Norm,CompShg,AsbShng,AsbShng,RL,WD,153000
1969,5,5,1040,1040,11606,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,135000
1964,6,5,1350,0,9020,2008,SLvl,Feedr,Norm,WdShngl,Plywood,Wd Sdng,RL,WD,168500
1880,5,6,1089,661,9000,2006,2Story,Artery,Norm,CompShg,VinylSd,VinylSd,RM,WD,124000
2006,8,5,1554,0,4590,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,209500
1977,7,5,1411,0,11900,2009,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,82500
1954,5,7,1056,0,9250,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,139400
1980,6,5,1056,0,6979,2010,SFoyer,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,144000
1914,6,7,1440,1440,10896,2007,2.5Fin,Feedr,Norm,CompShg,VinylSd,VinylSd,RH,WD,200000
1936,2,3,800,0,6120,2009,1Story,Norm,Norm,CompShg,AsbShng,AsbShng,RM,ConLw,60000
1954,5,4,811,576,6000,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,93000
1910,5,7,796,0,8777,2008,1Story,Feedr,Norm,CompShg,MetalSd,Wd Sdng,RL,WD,85000
2006,8,5,1567,0,3982,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,264561
2003,8,5,1518,0,12677,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,274000
2001,7,5,1057,872,7050,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,WD,226000
1972,8,7,2000,704,13860,2009,SLvl,Norm,Norm,CompShg,Plywood,Wd Sdng,RL,WD,345000
1969,5,5,780,840,10793,2007,2Story,RRAn,Norm,CompShg,WdShing,HdBoard,RL,WD,152000
2009,9,5,1766,0,9187,2009,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,FV,New,370878
1971,6,5,981,0,10530,2007,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,143250
1950,5,5,1048,0,7200,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,98300
1953,6,5,1094,0,10452,2008,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,155000
1966,6,5,1051,788,7700,2010,2Story,PosN,Norm,CompShg,MetalSd,MetalSd,RL,WD,155000
1970,4,6,630,0,1936,2007,SFoyer,Norm,Norm,CompShg,CemntBd,CmentBd,RM,WD,84500
2007,7,6,822,843,8125,2008,2Story,Norm,Norm,CompShg,CemntBd,CmentBd,FV,WD,205950
1940,4,5,755,755,9084,2009,2Story,Artery,Norm,CompShg,MetalSd,MetalSd,RL,WD,108000
1996,7,5,909,807,8750,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,191000
1906,6,7,756,713,10320,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,135000
1995,8,6,2113,0,10437,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,350000
1971,6,5,525,567,1680,2010,2Story,Norm,Norm,CompShg,HdBoard,ImStucc,RM,WD,88000
1959,5,7,1053,0,10007,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,145500
1931,7,6,851,651,7200,2008,2Story,Norm,Norm,CompShg,Stucco,Wd Shng,RL,WD,149000
1948,6,5,912,546,17503,2010,1.5Fin,Artery,Norm,CompShg,VinylSd,VinylSd,RL,WD,97500
1964,5,7,1486,0,9937,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,167000
1976,7,7,1142,793,12384,2007,2Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,197900
1994,8,7,1686,762,46589,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,402000
1968,6,3,1392,0,13560,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,110000
1972,4,5,1181,0,10012,2008,SFoyer,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,137500
2005,8,5,2097,0,20896,2006,1Story,RRAn,Norm,CompShg,VinylSd,VinylSd,RL,New,423000
2000,8,5,1454,482,11194,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,230500
1965,6,5,1465,915,18450,2007,2Story,Norm,Norm,Tar&Grv,Plywood,Plywood,RL,WD,129000
1994,6,5,1679,0,8125,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,193500
1956,5,6,1437,0,14175,2006,1Story,Norm,Norm,CompShg,CemntBd,Wd Sdng,RL,WD,168000
1922,4,5,1180,0,11600,2006,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,137500
2005,6,5,738,738,8633,2009,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,173500
1925,6,6,697,672,6629,2009,2Story,Artery,Norm,CompShg,Wd Sdng,Wd Sdng,RH,WD,103600
1977,6,6,1208,0,11250,2006,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,165000
1957,6,7,1839,0,14442,2007,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,257500
1965,6,6,1136,0,9200,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,140000
1978,6,6,855,586,2289,2009,2Story,Norm,Norm,CompShg,Plywood,Brk Cmn,RL,WD,148500
1900,4,2,1095,679,9600,2006,2Story,Norm,Norm,CompShg,AsbShng,Stucco,RM,WD,87000
1924,5,8,792,0,9022,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,109500
2008,8,5,2046,0,11844,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,372500
1961,5,5,988,0,9945,2007,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,128500
1980,6,5,923,0,8012,2010,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,143000
1932,5,5,848,672,4500,2009,1.5Fin,Norm,Norm,CompShg,VinylSd,Stucco,RH,WD,159434
1996,6,5,1291,0,2887,2008,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,173000
2002,9,5,1668,0,11248,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,285000
1998,7,5,1195,644,16770,2010,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,221000
1984,7,5,1190,900,5062,2007,2Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,207500
2007,7,6,874,887,10207,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,FV,New,227875
2004,7,5,551,551,5105,2007,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,148800
2007,8,6,1419,0,8089,2007,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,New,392000
2005,6,5,1362,0,7577,2007,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,194700
2004,6,5,848,0,4426,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,141000
1994,10,6,2444,1872,21535,2007,2Story,Norm,Norm,WdShngl,HdBoard,HdBoard,RL,WD,755000
1989,7,5,1238,1281,26178,2006,2Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,335000
1921,5,6,1073,0,5400,2006,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,108480
1936,5,6,1067,472,6120,2009,1.5Fin,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,141500
1987,6,6,1137,0,13811,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,176000
1921,5,7,616,0,6000,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Shng,RM,WD,89000
1952,5,7,1148,0,6420,2006,1Story,Norm,Norm,CompShg,Wd Sdng,Wd Sdng,RL,WD,123500
1965,5,8,894,0,8450,2010,1Story,RRAe,Norm,CompShg,MetalSd,MetalSd,RL,WD,138500
2004,7,5,1391,0,4282,2008,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,FV,WD,196000
2002,8,5,1800,0,14331,2006,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,312500
1969,7,5,1164,0,9600,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,COD,140000
2006,8,5,1264,1312,12438,2006,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,361919
1900,5,9,1032,780,7630,2010,2Story,Feedr,Norm,CompShg,Wd Sdng,Wd Sdng,RM,WD,140000
2004,7,5,1484,0,8400,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,213000
1930,4,5,372,720,5600,2010,2Story,Norm,Norm,CompShg,VinylSd,Wd Shng,RM,WD,55000
1971,7,5,1824,0,115149,2007,1Story,Norm,Norm,CompShg,Plywood,Plywood,RL,WD,302000
2006,8,5,1324,0,6240,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,254000
2007,7,5,728,728,9018,2007,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,New,179540
1966,5,7,904,0,7162,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,109900
1935,3,6,729,0,4130,2008,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,52000
1900,4,7,859,319,8712,2010,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,C (all),WD,102776
1988,8,5,1228,0,4671,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,189000
1970,4,5,960,0,9873,2006,1Story,RRAn,Norm,CompShg,HdBoard,HdBoard,RL,WD,129000
1976,6,8,725,754,13517,2010,2Story,RRAe,Norm,CompShg,HdBoard,Plywood,RL,WD,130500
1974,6,5,1350,0,10140,2009,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,165000
1890,7,8,1576,978,10800,2007,2Story,Norm,Norm,CompShg,Wd Sdng,VinylSd,RM,WD,159500
1973,5,6,1178,0,10000,2008,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,157000
1993,7,5,1325,1093,10542,2008,2Story,Norm,Norm,CompShg,Wd Sdng,ImStucc,RL,WD,341000
1969,5,6,971,0,9920,2006,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,128500
1985,8,5,1742,0,6563,2006,1Story,Norm,Norm,CompShg,HdBoard,HdBoard,RL,WD,275000
2004,6,5,848,0,4426,2010,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RM,WD,143000
1970,4,7,864,0,8120,2009,1Story,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,124500
1954,4,6,997,473,8172,2008,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RL,WD,135000
2007,9,5,1698,0,13286,2009,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,320000
1970,4,6,864,0,6960,2009,1Story,Norm,Norm,CompShg,HdBoard,Plywood,RL,WD,120500
1988,6,9,1680,0,21695,2009,1Story,Norm,Norm,CompShg,Wd Sdng,Plywood,RL,WD,222000
2007,7,5,1232,0,7314,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,194500
1958,5,5,1776,0,11475,2009,1Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,COD,110000
1925,4,5,848,0,6240,2009,1.5Fin,Norm,Norm,CompShg,MetalSd,MetalSd,RM,WD,103000
1995,8,5,1616,0,5389,2010,1Story,Norm,Norm,CompShg,CemntBd,CmentBd,RL,WD,236500
2003,7,5,1146,0,9590,2007,SLvl,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,187500
1998,7,5,1153,878,11404,2008,2Story,Norm,Norm,CompShg,VinylSd,VinylSd,RL,WD,222500
1961,5,6,1144,0,10000,2009,1Story,Feedr,Norm,CompShg,HdBoard,HdBoard,RL,WD,131400
